Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
9436ac89-2499-2406-2a0b-e362bcc4eefd,2024-06-16,,999-61-6309,,,,Aurea194,Shela13,Welch179,,,,white,nonhispanic,F,Braintree  Massachusetts  US,978 Gibson Lock Unit 76,Andover,Massachusetts,Essex County,25009,01810,42.65083281087217,-71.19800731800542,2088.50,2521.97,170597
7e89f21d-ad08-95ba-f074-738662bb8ef0,2018-03-15,,999-79-1419,,,,Donovan745,Claud279,Murray856,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,692 Wilkinson Flat,Millis,Massachusetts,Norfolk County,,00000,42.209912808390214,-71.40495022920496,9644.76,7495.56,162437
dfc78a70-b820-ae08-dfbb-aa640eb0a6d8,1977-02-13,1999-06-09,999-42-7819,S99942905,X47834337X,Mr.,Travis723,Floyd420,Bayer639,,,,white,nonhispanic,M,Lynn  Massachusetts  US,805 Harris Mall Unit 3,Natick,Massachusetts,Middlesex County,,00000,42.28549536626482,-71.3447099191971,44187.89,734.18,453349
a9765d90-2ea9-b366-6972-de51bdd306a9,1972-05-19,,999-44-4813,S99943811,X15859841X,Mr.,Cristobal567,Lee268,Goodwin327,,,D,white,nonhispanic,M,Medford  Massachusetts  US,260 Toy Alley,Malden,Massachusetts,Middlesex County,25017,02148,42.44062971734551,-71.0957693319999,367716.78,374547.10,95840
84b08e33-0507-4861-7e5c-277de93ae3a0,1968-07-29,,999-24-7297,S99933471,X13063732X,Mr.,Jarvis643,Agustin437,Kemmer137,,,M,asian,nonhispanic,M,Needham  Massachusetts  US,941 Gutmann Common,Westborough,Massachusetts,Worcester County,25027,01581,42.28457240810494,-71.56544905380794,133245.94,36147.34,39697
c2d3059f-dc11-f4ec-2084-5c321c67ead2,2004-05-20,,999-76-8993,S99990660,X80391649X,Ms.,Lin401,,Purdy2,,,,black,hispanic,F,Boston  Massachusetts  US,873 Thiel Ville,Agawam,Massachusetts,Hampden County,25013,01001,42.068733308975574,-72.628053462514,107733.35,224735.52,89784
3987fcf8-4abe-1b65-6240-74f6fbde0c4e,1995-01-16,,999-99-5203,S99938141,X88180599X,Mrs.,Gregoria352,Dagmar148,Koelpin146,,Halvorson124,M,black,nonhispanic,F,Boston  Massachusetts  US,994 Schaden Skyway Apt 59,Chelsea,Massachusetts,Suffolk County,25017,02149,42.36129813267558,-71.07112127316724,96160.06,398094.53,90475
cbbbcec5-b94a-fe91-9289-1c6b8f4877c8,1978-11-10,,999-90-2710,S99931574,X61793349X,Mrs.,Patria17,Tana168,Kub800,,Murphy561,M,white,nonhispanic,F,Peabody  Massachusetts  US,488 Johns Trailer Unit 44,East Longmeadow,Massachusetts,Hampden County,,00000,42.08275754816441,-72.52296847999631,323229.42,589220.82,91715
b8ca325d-ab87-f3fd-10ee-38138bcd0dc9,1984-07-23,,999-85-3231,S99990752,X18909366X,Mrs.,Mammie808,In373,Schultz619,,Langosh790,M,white,nonhispanic,F,Mashpee  Massachusetts  US,754 Hills Glen Suite 50,Paxton,Massachusetts,Worcester County,,00000,42.304328468514775,-71.96398916416352,231343.99,765448.83,99100
c4cf159d-5f94-f96c-5363-38b6de5d4ff7,1996-02-21,,999-61-8376,S99993354,X21773994X,Mrs.,Elisa944,Corrine68,Gorczany269,,Cormier289,M,white,hispanic,F,Hopedale  Massachusetts  US,956 Walsh Course,Dracut,Massachusetts,Middlesex County,,00000,42.64477764904856,-71.26887051390631,133091.19,311031.58,116391
